"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,USA,US Air Force,Military,Communications,,GEO,,-67.90,"35,764","35,768",4.75E-05,4.5,1435.04,"4,536",,"8,000",2/27/2001,12,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2001-009A,26715,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JMSatcat10_06
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA,USA,US Air Force,Military,Communications,,GEO,,3.92,"35,753","35,820",7.95E-04,3.45,1436.12,"4,536",,"8,000",1/16/2002,12,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2002-001A,27168,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/304
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA,USA,US Air Force,Military,Communications,,GEO,,-89.98,"35,768","35,806",4.51E-04,0.82,1436.13,"4,536",,"8,000",4/8/2003,12,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4B,2003-012A,27711,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",JM/12_08
MINXSS-2 (Miniature X-Ray Solar Spectrometer-2),NR (11/19),USA,"University of Colorado, Boulder",Civil,Space Science,,LEO,Sun-Synchronous,0.00,573,589,1.15E-03,97.7,96.3,4,,,12/3/2018,5,Student-built,USA,Vandenberg AFB,Falcon 9,2018-099A,43758,Student built. Study solar flare soft x-ray (SXR) emissions and other space science.,JMSatcat/3_19
MMS-1 (Magnetospheric Multiscale Mission),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,0.00,"1,375","70,009",8.16E-01,28.9,"1,433","1,360",,,3/13/2015,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011A,40482,"4 satellites in a tetrahedral formation - gather information about the microphysics of magnetic reconnection, energetic particle acceleration, and turbulence, processes that occur in many astrophysical plasmas",JM/8_15
MMS-2 (Magnetospheric Multiscale Mission),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,0.00,"1,357","70,117",8.16E-01,29,"1,433","1,360",,,3/13/2015,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011B,40483,,JM/8_15
MMS-3 (Magnetospheric Multiscale Mission),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,0.00,"1,429","70,045",8.15E-01,29,"1,433","1,360",,,3/13/2015,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011C,40484,,JM/8_15
MMS-4 (Magnetospheric Multiscale Mission),USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,Elliptical,,0.00,"1,317","70,157",8.17E-01,29,"1,433","1,360",,,3/13/2015,3,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Atlas 5,2015-011D,40485,,JM/8_15
Mohammed VI-A ,NR,Morocco,Kingdom of Morocco,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,636,638,1.43E-04,97.9,97,"1,110",,,11/8/2017,,Thales/Alenia Space and Airbus Defense and Space,France/UK/Germany/Spain/Italy,Guiana Space Center,Vega,2017-070A,43005,Morocco's first earth observation satellite.,JMSatcat/3_18
Mohammed VI-B ,NR,Morocco,Kingdom of Morocco,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,601,606,3.59E-04,98,97,"1,110",,,11/21/2018,,Thales/Alenia Space and Airbus Defense and Space,France/UK/Germany/Spain/Italy,Guiana Space Center,Vega,2018-095A,43717,Second earth observation satellite for Morocco.,JM/11_18
MOST (Microvariability & Oscillations of STars),Canada,Canada,Canadian Space Agency,Government,Space Science,,LEO,Sun-Synchronous,0.00,817,832,1.04E-03,98.7,101.4,53,53,35,6/30/2003,1,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,2003-031D,27843,"Canada's space telescope, dubbed the ""Humble Telescope""; minisatellite; monitor brightness variations in stars.",www.satellitedebris.net 12/12
MOVE II (Munich Orbital Verification Experiment II),Germany,Germany,Technical University of Munich,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,572,590,1.29E-03,97.7,96.3,2,,,12/3/2018,,Technical University of Munich,Germany,Vandenberg AFB,Falcon 9,2018-099Y,43780,Project for training engineers and students in satellite technology.,JMSatcat/3_19
MOVE IIb (Munich Orbital Verification Experiment ,NR (11/19),Germany,Technical University of Munich,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,512,550,2.75E-03,97.5,95.2,1,,,7/5/2019,,Technical University of Munich,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038N,44398,"Student built, technology development.",JMSatcat/11_19
Mozhayets 4 (RS-22),Russia,Russia,Mozhaisky Space Engineering Academy,Civil,Technology Development,,LEO,Sun-Synchronous,0.00,669,690,1.49E-03,97.8,98.3,64,,,9/27/2003,,Mozhaiskiy Space Engineering Academy,Russia,Plesetsk Cosmodrome,Kosmos 3M,2003-042A,27939,Training satellite; carries an amateur radio payload.,www.satellitedebris.net 12/12
MP6,NR (11/19),Lithuania,NanoAvionics,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,434,514,5.84E-03,97.5,94,7,,,4/1/2019,,NanoAvionics,Lithuania,Satish Dhawan Space Centre,PSLV,2019-018AF,44109,"Hosts two commercial payloads for SpaceWorks Orbital and Lacuna Space, two companies designing communications and tracking networks using nanosatellites as relay nodes to collect and retransmit data from devices and sensors around the world.",JMSatcat/11_19
MSAT 1 ,Canada,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,,GEO,,-106.43,"35,763","35,809",5.46E-04,1.37,1436.09,"2,850","1,330","3,300",4/20/1996,12,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846,Wireless network for North America,JM/12_08
"MSAT 2 (AMSC-1, ACTel-1)",USA,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,,GEO,,-101.21,"35,776","35,796",2.37E-04,4.02,1436.09,"2,850","1,330","3,300",4/7/1995,10,Hughes Space and Communications Co. ,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,Wireless network for North America,JM/12_08
MTI (Multispectral Thermal Imager),USA,USA,US Department of Energy/Office of Nonproliferation and National Security,Government/Military,Technology Development,,LEO,Sun-Synchronous,0.00,461,478,1.24E-03,97.47,94.9,587,,575,3/12/2000,3,Ball Aerospace/TRW/Raytheon,USA,Vandenberg AFB,Taurus,2000-014A,26102,"Primary objective is to demonstrate advanced multispectral and thermal imaging, image processing, and associated technologies that could be used in future systems for detecting and characterizing facilities producing weapons of mass destruction.",WT
MTSAT-2 (Multi-Functional Transport Satellite),Japan,Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,Meteorology,GEO,,145.06,"35,776","35,797",2.49E-04,0.01,1436.1,"2,900","1,250","2,700",2/18/2006,5,Mitsubishi Electric/Boeing/Alcatel,Japan,Tanegashima Space Center,H2A,2006-004A,28937,Meteorological satellite; will also relay ground weather data to the Meteorological Satellite Center; in standby mode until 2010.,JM/12_08
MUOS-1 (Mobile User Objective System 1),USA,USA,DoD/US Navy,Military,Communications,,GEO,,-176.96,"35,569","36,006",5.18E-03,3.73,1436.1,"6,804",,,2/24/2012,12,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2012-009A,38093,Four primary satellites and one orbiting spare will comprise the MUOS system as it is fielded over the next few years to augment and then replace the Navy's aging Ultra High Frequency spacecraft constellation. Orbital parameters estimated.,JM/6_16
MUOS-2 (Mobile User Objective System 2),USA,USA,DoD/US Navy,Military,Communications,,GEO,,-100.10,"35,550","36,023",5.61E-03,4.11,1436.1,"6,804",,,7/19/2013,12,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2013-036A,39206,Second of four.,JM/6_16
MUOS-3 (Mobile User Objective System 3),USA,USA,DoD/US Navy,Military,Communications,,GEO,,-15.48,"35,576","35,998",5.01E-03,4.57,1436.1,"6,804","3,812",,1/21/2015,,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2015-002A,40374,Next-generation narrowband tactical satellite communications system designed to significantly improve ground communications for U.S. forces on the move.,JM/6_16
MUOS-4 (Mobile User Objective System 4),USA,USA,DoD/US Navy,Military,Communications,,GEO,,74.80,"35,576","35,997",4.99E-03,4.8,1436.1,"6,804",,,9/2/2015,,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2015-044A,40887,,JM/6_16
MUOS-5 (Mobile User Objective System 5),USA,USA,DoD/US Navy,Military,Communications,,GEO,,-104.13,"35,576","35,998",5.01E-03,4.5,1436.1,"6,804",,,6/24/2016,,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 5,2016-041A,41622,"Main engine failed during initial orbit-raising. Planned for 75 E, but is located at 105 W. Slightly more inclined than normal but can function. Spare. Completes the five-satellite constellation.",Estimated
Mycroft (USA 285),USA,USA,US Air Force,Military,Technology Development,,GEO,,-13.38,"35,288","35,288",0.00E+00,0,1410,,,,11/14/2018,,Orbital ATK,USA,Cape Canaveral,Atlas 5,2018-036E,43445,Space situational awareness. Will evaluate the region around the EAGLE satellite with an on-board camera.,JMGEO/5-18
NanoACE,USA,USA,"Tyvak Nanosatellite Systems, Inc.",Commercial,Technology Development,,LEO,Sun-Synchronous,0,486,602,8.39E-03,97.6,96.6,6,,,7/14/2017,,Tyvak Nanosatellite Systems,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042V,42844,Strictly for internal development testing.,JMSatcat/10_17
Nanosat-1,Spain,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications,,LEO,Sun-Synchronous,0.00,654,659,3.56E-04,98.4,97.9,20,15,20,12/18/2004,,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493,Will maintain contact with Spanish zone in Antarctica; extremely small magnetic and solar sensors.,www.satellitedebris.net 12/12
Nanosat-1B,NR,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications/Technology Development,,LEO,Sun-Synchronous,0.00,583,672,6.36E-03,98.1,97.3,20,15,20,7/29/2009,,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Baikonur Cosmodrome,Dnepr,2009-041E,35685,Technology demonstration and communication.,www.satellitedebris.net 12/12
"Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,188","20,224",6.77E-04,55,718.94,"1,630",,,5/28/2010,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2010-022A,36585,First in the IIF series.,SC - ASCR
"Navstar GPS IIF-10 (Navstar SVN 72, PRN 8, USA 262)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,446","20,459",2.42E-04,54.9,728.96,"1,630",,"1,136",7/15/2015,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-033A,40730,,JM/8_15
"Navstar GPS IIF-11 (Navstar SVN 73, PRN 10, USA 265)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,426","20,486",1.12E-03,55,97.7,"1,630",,,10/31/2015,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-062A,41019,,SC - ASCR
"Navstar GPS IIF-12 (Navstar SVN 70, PRN 32, USA 266)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,175","20,188",2.45E-04,55,717.9,"1,630",,,2/5/2016,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2016-007A,41328,,Space50
"Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,451","20,464",2.42E-04,55.03,729.18,"1,630",,,7/16/2011,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2011-036A,37753,,SC - ASCR
"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,174","20,191",3.20E-04,54.95,718,"1,630",,"1,136",10/4/2012,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2012-053A,38833,Will replace 2A-21.,SC - ASCR
"Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,184","20,247",1.18E-03,55.09,719.32,"1,630",,"1,136",5/15/2013,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-023A,39166,,SC - ASCR
"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,457","20,469",2.24E-04,54.98,729.39,"1,630",,"1,136",2/21/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-008A,39533,,ZARYA
"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,174","20,188",2.64E-04,55.05,717.92,"1,630",,"1,136",5/17/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4,2014-026A,39741,,SC - ASCR
"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,471","20,476",9.31E-05,54.92,729,"1,630",,"1,136",8/2/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-045A,40105,,ZARYA
"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,155","20,211",1.05E-03,54.97,718.02,"1,630",,"1,136",10/29/2014,10,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-068A,40294,,ZARYA
"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,445","20,469",4.47E-04,55,729.14,"1,630",,"1,136",3/25/2015,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 4M,2015-013A,40534,,JM/8_15
"Navstar GPS III-1 (Navstar SVN 74, PRN 04, USA 289)",NR (11/19),USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,171","20,189",3.39E-04,54.9,717.88,"2,300",,,12/23/2018,15,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Falcon 9,2018-109A,43873,First of third generation.,JMSatcat/3_19
"Navstar GPS III-2 (Navstar SVN 78, USA 293)",NR (11/19),USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,188","20,203",2.82E-04,55.1,718.01,"2,300",,"1,136",8/22/2019,15,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Delta 4,2019-056A,44506,,JMSatcat/11_19
"Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"19,963","20,327",6.86E-03,55.1,716.47,"2,217",980,"1,136",12/21/2003,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-058A,28129,,JMSatcat304
"Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,089","20,276",3.52E-03,55,717.98,"2,217",980,"1,136",3/20/2004,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-009A,28190,"Precise position data (accurate to within 16 m) to military and civilian users worldwide; constellation of 28 operational satellites; 6 orbit planes; corporate vehicle fleet tracking, surveying, recreational use; nuclear detonation detection sensors.",JMSatcat304
"Navstar GPS IIR-12 (Navstar SVN 60, PRN 23, USA 178)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,072","20,292",4.14E-03,55.37,717.96,"2,217",980,"1,136",6/23/2004,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-023A,28361,,SC - ASCR
"Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"19,938","20,426",9.19E-03,54.8,718,"2,217",980,"1,136",11/6/2004,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2004-045A,28474,,GS
"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,123","20,247",2.33E-03,54.9,718.09,"2,217",980,"1,136",7/23/1997,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,1997-035A,24876,,JMSatcat304
"Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,096","20,268",3.24E-03,53,717.97,"2,217",980,"1,136",10/7/1999,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,1999-055A,25933,,JMSatcat304
"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,133","20,234",1.90E-03,54.9,718.03,"2,217",980,"1,136",5/11/2000,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-025A,26360,,JMSatcat304
"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,184","20,427",4.55E-03,55,722.98,"2,217",980,"1,136",7/16/2000,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-040A,26407,,JMSatcat304
"Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,177","20,498",6.01E-03,55,724.28,"2,217",980,"1,136",11/10/2000,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2000-071A,26605,,JMSatcat304
"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,104","20,266",3.05E-03,55,718.09,"2,217",980,"1,136",1/30/2001,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2001-004A,26690,,JMSatcat304
"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,155","20,344",3.55E-03,55,720.71,"2,217",980,"1,136",1/29/2003,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-005A,27663,,JMSatcat304
"Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,063","20,433",6.95E-03,54.9,720.65,"2,217",980,"1,136",3/31/2003,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2003-010A,27704,,JMSatcat304
"Navstar GPS IIR-M-1 (Navstar SVN 53, PRN 17, USA 183)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,142","20,221",1.49E-03,55.08,717.95,"2,217",980,"1,136",9/26/2005,10,Lockheed Martin,USA,Cape Canaveral,Delta 2,2005-038A,28874,Two more military and one civilian channels that earlier versions.,SC - ASCR
"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)",USA,USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,0.00,"20,020","20,342",6.06E-03,54.94,717.93,"2,060",,,9/25/2006,10,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Delta 2,2006-042A,29486,,SC - ASCR
